date,debt_unscaled,debt_monthly,isPartial,scale,debt
2020-01-01,49,49,False,0.49,24.009999999999998
2020-01-02,77,77,False,0.77,59.29
2020-01-03,79,79,False,0.79,62.410000000000004
2020-01-04,65,65,False,0.65,42.25
2020-01-05,57,57,False,0.57,32.489999999999995
2020-01-06,78,78,False,0.78,60.84
2020-01-07,89,89,False,0.89,79.21000000000001
2020-01-08,89,89,False,0.89,79.21000000000001
2020-01-09,87,87,False,0.87,75.69
2020-01-10,87,87,False,0.87,75.69
2020-01-11,58,58,False,0.58,33.64
2020-01-12,56,56,False,0.56,31.360000000000003
2020-01-13,78,78,False,0.78,60.84
2020-01-14,90,90,False,0.9,81.0
2020-01-15,100,100,False,1.0,100.0
2020-01-16,91,91,False,0.91,82.81
2020-01-17,86,86,False,0.86,73.96
2020-01-18,70,70,False,0.7,49.0
2020-01-19,52,52,False,0.52,27.04
2020-01-20,69,69,False,0.69,47.61
2020-01-21,88,88,False,0.88,77.44
2020-01-22,94,94,False,0.94,88.36
2020-01-23,96,96,False,0.96,92.16
2020-01-24,96,96,False,0.96,92.16
2020-01-25,70,70,False,0.7,49.0
2020-01-26,67,67,False,0.67,44.89
2020-01-27,83,83,False,0.83,68.89
2020-01-28,98,98,False,0.98,96.03999999999999
2020-01-29,98,98,False,0.98,96.03999999999999
2020-01-30,96,96,False,0.96,92.16
2020-01-31,79,79,False,0.79,62.410000000000004
