date,stocks_unscaled,stocks_monthly,isPartial,scale,stocks
2020-01-01,54,54,False,0.54,29.160000000000004
2020-01-02,88,88,False,0.88,77.44
2020-01-03,100,100,False,1.0,100.0
2020-01-04,65,65,False,0.65,42.25
2020-01-05,56,56,False,0.56,31.360000000000003
2020-01-06,82,82,False,0.82,67.24
2020-01-07,86,86,False,0.86,73.96
2020-01-08,89,89,False,0.89,79.21000000000001
2020-01-09,87,87,False,0.87,75.69
2020-01-10,82,82,False,0.82,67.24
2020-01-11,56,56,False,0.56,31.360000000000003
2020-01-12,49,49,False,0.49,24.009999999999998
2020-01-13,79,79,False,0.79,62.410000000000004
2020-01-14,87,87,False,0.87,75.69
2020-01-15,91,91,False,0.91,82.81
2020-01-16,86,86,False,0.86,73.96
2020-01-17,87,87,False,0.87,75.69
2020-01-18,62,62,False,0.62,38.44
2020-01-19,55,55,False,0.55,30.250000000000004
2020-01-20,57,57,False,0.57,32.489999999999995
2020-01-21,80,80,False,0.8,64.0
2020-01-22,88,88,False,0.88,77.44
2020-01-23,84,84,False,0.84,70.56
2020-01-24,82,82,False,0.82,67.24
2020-01-25,56,56,False,0.56,31.360000000000003
2020-01-26,48,48,False,0.48,23.04
2020-01-27,76,76,False,0.76,57.76
2020-01-28,80,80,False,0.8,64.0
2020-01-29,85,85,False,0.85,72.25
2020-01-30,88,88,False,0.88,77.44
2020-01-31,94,94,False,0.94,88.36
