,debt,date
0,20,2004-01-01
1,57,2004-01-02
2,39,2004-01-03
3,55,2004-01-04
4,81,2004-01-05
5,92,2004-01-06
6,100,2004-01-07
7,96,2004-01-08
8,81,2004-01-09
9,58,2004-01-10
10,39,2004-01-11
11,79,2004-01-12
12,82,2004-01-13
13,80,2004-01-14
14,80,2004-01-15
15,49,2004-01-16
16,68,2004-01-17
17,46,2004-01-18
18,76,2004-01-19
19,99,2004-01-20
20,91,2004-01-21
21,72,2004-01-22
22,82,2004-01-23
23,59,2004-01-24
24,58,2004-01-25
25,80,2004-01-26
26,70,2004-01-27
27,84,2004-01-28
28,93,2004-01-29
29,76,2004-01-30
30,46,2004-01-31
31,42,2004-02-01
32,70,2004-02-02
33,90,2004-02-03
34,77,2004-02-04
35,62,2004-02-05
36,69,2004-02-06
37,40,2004-02-07
38,44,2004-02-08
39,65,2004-02-09
40,75,2004-02-10
41,72,2004-02-11
42,76,2004-02-12
43,48,2004-02-13
44,65,2004-02-14
45,52,2004-02-15
46,57,2004-02-16
47,50,2004-02-17
48,54,2004-02-18
49,74,2004-02-19
50,84,2004-02-20
51,61,2004-02-21
52,46,2004-02-22
53,78,2004-02-23
54,100,2004-02-24
55,86,2004-02-25
56,76,2004-02-26
57,57,2004-02-27
58,82,2004-02-28
59,85,2004-02-29
60,62,2004-03-01
61,75,2004-03-02
62,44,2004-03-03
63,81,2004-03-04
64,70,2004-03-05
65,100,2004-03-06
66,74,2004-03-07
67,0,2004-03-08
68,0,2004-03-09
69,69,2004-03-10
70,23,2004-03-11
71,70,2004-03-12
72,44,2004-03-13
73,32,2004-03-14
74,88,2004-03-15
75,67,2004-03-16
76,77,2004-03-17
77,59,2004-03-18
78,44,2004-03-19
79,53,2004-03-20
80,33,2004-03-21
81,84,2004-03-22
82,0,2004-03-23
83,48,2004-03-24
84,72,2004-03-25
85,60,2004-03-26
86,51,2004-03-27
87,52,2004-03-28
88,50,2004-03-29
89,63,2004-03-30
90,68,2004-03-31
91,75,2004-04-01
92,58,2004-04-02
93,57,2004-04-03
94,29,2004-04-04
95,56,2004-04-05
96,66,2004-04-06
97,78,2004-04-07
98,63,2004-04-08
99,46,2004-04-09
100,74,2004-04-10
101,69,2004-04-11
102,0,2004-04-12
103,0,2004-04-13
104,58,2004-04-14
105,76,2004-04-15
106,71,2004-04-16
107,53,2004-04-17
108,100,2004-04-18
109,78,2004-04-19
110,66,2004-04-20
111,70,2004-04-21
112,69,2004-04-22
113,63,2004-04-23
114,54,2004-04-24
115,54,2004-04-25
116,56,2004-04-26
117,73,2004-04-27
118,68,2004-04-28
119,57,2004-04-29
