,date,debt
0,2004-01-04,98
1,2004-01-05,98
2,2004-01-06,98
3,2004-01-07,98
4,2004-01-08,98
5,2004-01-09,98
6,2004-01-10,98
0,2004-01-11,83
1,2004-01-12,83
2,2004-01-13,83
3,2004-01-14,83
4,2004-01-15,83
5,2004-01-16,83
6,2004-01-17,83
0,2004-01-18,88
1,2004-01-19,88
2,2004-01-20,88
3,2004-01-21,88
4,2004-01-22,88
5,2004-01-23,88
6,2004-01-24,88
0,2004-01-25,90
1,2004-01-26,90
2,2004-01-27,90
3,2004-01-28,90
4,2004-01-29,90
5,2004-01-30,90
6,2004-01-31,90
0,2004-02-01,89
1,2004-02-02,89
2,2004-02-03,89
3,2004-02-04,89
4,2004-02-05,89
5,2004-02-06,89
6,2004-02-07,89
0,2004-02-08,86
1,2004-02-09,86
2,2004-02-10,86
3,2004-02-11,86
4,2004-02-12,86
5,2004-02-13,86
6,2004-02-14,86
0,2004-02-15,81
1,2004-02-16,81
2,2004-02-17,81
3,2004-02-18,81
4,2004-02-19,81
5,2004-02-20,81
6,2004-02-21,81
0,2004-02-22,89
1,2004-02-23,89
2,2004-02-24,89
3,2004-02-25,89
4,2004-02-26,89
5,2004-02-27,89
6,2004-02-28,89
0,2004-02-29,89
1,2004-03-01,89
2,2004-03-02,89
3,2004-03-03,89
4,2004-03-04,89
5,2004-03-05,89
6,2004-03-06,89
0,2004-03-07,80
1,2004-03-08,80
2,2004-03-09,80
3,2004-03-10,80
4,2004-03-11,80
5,2004-03-12,80
6,2004-03-13,80
0,2004-03-14,78
1,2004-03-15,78
2,2004-03-16,78
3,2004-03-17,78
4,2004-03-18,78
5,2004-03-19,78
6,2004-03-20,78
0,2004-03-21,72
1,2004-03-22,72
2,2004-03-23,72
3,2004-03-24,72
4,2004-03-25,72
5,2004-03-26,72
6,2004-03-27,72
0,2004-03-28,79
1,2004-03-29,79
2,2004-03-30,79
3,2004-03-31,79
4,2004-04-01,79
5,2004-04-02,79
6,2004-04-03,79
0,2004-04-04,75
1,2004-04-05,75
2,2004-04-06,75
3,2004-04-07,75
4,2004-04-08,75
5,2004-04-09,75
6,2004-04-10,75
0,2004-04-11,88
1,2004-04-12,88
2,2004-04-13,88
3,2004-04-14,88
4,2004-04-15,88
5,2004-04-16,88
6,2004-04-17,88
0,2004-04-18,87
1,2004-04-19,87
2,2004-04-20,87
3,2004-04-21,87
4,2004-04-22,87
5,2004-04-23,87
6,2004-04-24,87
0,2004-04-25,80
1,2004-04-26,80
2,2004-04-27,80
3,2004-04-28,80
4,2004-04-29,80
5,2004-04-30,80
6,2004-05-01,80
0,2004-05-02,84
1,2004-05-03,84
2,2004-05-04,84
3,2004-05-05,84
4,2004-05-06,84
5,2004-05-07,84
6,2004-05-08,84
0,2004-05-09,87
1,2004-05-10,87
2,2004-05-11,87
3,2004-05-12,87
4,2004-05-13,87
5,2004-05-14,87
6,2004-05-15,87
0,2004-05-16,72
1,2004-05-17,72
2,2004-05-18,72
3,2004-05-19,72
4,2004-05-20,72
5,2004-05-21,72
6,2004-05-22,72
0,2004-05-23,78
1,2004-05-24,78
2,2004-05-25,78
3,2004-05-26,78
4,2004-05-27,78
5,2004-05-28,78
6,2004-05-29,78
0,2004-05-30,76
1,2004-05-31,76
2,2004-06-01,76
3,2004-06-02,76
4,2004-06-03,76
5,2004-06-04,76
6,2004-06-05,76
0,2004-06-06,95
1,2004-06-07,95
2,2004-06-08,95
3,2004-06-09,95
4,2004-06-10,95
5,2004-06-11,95
6,2004-06-12,95
0,2004-06-13,79
1,2004-06-14,79
2,2004-06-15,79
3,2004-06-16,79
4,2004-06-17,79
5,2004-06-18,79
6,2004-06-19,79
0,2004-06-20,87
1,2004-06-21,87
2,2004-06-22,87
3,2004-06-23,87
4,2004-06-24,87
5,2004-06-25,87
6,2004-06-26,87
0,2004-06-27,67
1,2004-06-28,67
2,2004-06-29,67
3,2004-06-30,67
4,2004-07-01,67
5,2004-07-02,67
6,2004-07-03,67
0,2004-07-04,76
1,2004-07-05,76
2,2004-07-06,76
3,2004-07-07,76
4,2004-07-08,76
5,2004-07-09,76
6,2004-07-10,76
0,2004-07-11,81
1,2004-07-12,81
2,2004-07-13,81
3,2004-07-14,81
4,2004-07-15,81
5,2004-07-16,81
6,2004-07-17,81
0,2004-07-18,80
1,2004-07-19,80
2,2004-07-20,80
3,2004-07-21,80
4,2004-07-22,80
5,2004-07-23,80
6,2004-07-24,80
0,2004-07-25,85
1,2004-07-26,85
2,2004-07-27,85
3,2004-07-28,85
4,2004-07-29,85
